medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
303,,DM40,분할선,타원형,하양,분홍
304,,HN,ITO,원형,하양,
305,,SAMA,,장방형,파랑,
306,,TM40,,타원형,하양,분홍
307,,OSTH,,장방형,파랑,
308,,PBT4,,타원형,하양,분홍
309,,분할선,KW40,타원형,분홍,하양
310,,IY40,,타원형,하양,분홍
311,,DM80,,타원형,하양,분홍
312,,PBT3,분할선,타원형,하양,분홍
313,,RMLP,,장방형,갈색,
314,,37.5마크,,장방형,회색,분홍
315,,마크,H21,원형,하양,
316,,BP,+40,타원형,하양,분홍
317,,BP,+80,타원형,하양,분홍
318,,SK,RSV10,원형,분홍,
319,,SK,RSV20,원형,분홍,
320,,HST,,타원형,하양,분홍
321,,HS40,분할선,타원형,하양,분홍
322,,마크,H22,원형,하양,
323,,TCR,,장방형,파랑,
324,,DWPRU,20,원형,분홍,
325,,DWPRU,10,원형,분홍,
326,,CKDRSD5,,원형,노랑,
327,,HM,20,원형,분홍,
328,,HM,10,원형,분홍,
329,,SCD,R10,원형,분홍,
330,,마크R 20,,원형,분홍,
331,,마크R  5,,원형,노랑,
332,,CKDRSD20,,원형,분홍,
333,,RSV10,,원형,분홍,
334,,마크R 10,,원형,분홍,
335,,K분할선I,500,장방형,하양,
336,,CADAG,분할선,원형,분홍,
337,,마크,P1,원형,하양,
338,,마크,P3,타원형,하양,
339,,마크,P2,원형,하양,
340,,7.79,,원형,하양,
341,,KL-V,,장방형,하양,
342,,F10,AC,장방형,갈색,
343,,EVHP,CKD,원형,하양,
344,,HRON,,원형,하양,
345,,DA,HVT,원형,하양,
346,,HM,A10,원형,하양,
347,,ET,분할선,원형,분홍,
348,,FSN,150,장방형,파랑,
349,,RST,150,장방형,파랑,
350,,DC VITA,,장방형,갈색,
351,,SI MCα,,장방형,노랑,
352,,K+,,원형,하양,
353,,ARI 15,,원형,노랑,
354,,ARI 5,,장방형,파랑,
355,,ARI 10,,장방형,분홍,
356,,K.D,G,타원형,주황,
357,,CI 2,CKD,타원형,분홍,
358,,CI 1,CKD,타원형,분홍,
359,,GH,,원형,하양,
360,,이지목 플러스,,장방형,갈색,갈색
361,,1010,,장방형,하양,
362,,1020,,장방형,하양,
363,,NO1,,원형,갈색,
364,,ZRP5,,원형,하양,
365,,ZRP2.5,,원형,하양,
366,,JI V,,장방형,하양,
367,,WK,S20,타원형,하양,
368,,WK,S10,타원형,하양,
369,,GL 16,,장방형,분홍,분홍
370,,GL 24,,장방형,주황,주황
371,,HNCP,,타원형,하양,
372,,CGP PW,,장방형,갈색,
373,,CGP OMFC,,장방형,하양,하양
374,,HN,VH16,타원형,갈색,
375,,HN,VH8,타원형,분홍,
376,,IY 본엔디,,장방형,갈색,
377,,D-W,BA분할선10,팔각형,하양,
378,,마크,분할선,장방형,하양,
379,,16분할선CE,KD,원형,분홍,
380,,마크,ZLT-100,장방형,하양,
381,,NVR BCR,,장방형,갈색,갈색
382,,익셀 12.5mg,,장방형,갈색,갈색
383,,CH분할선KD,,장방형,주황,
384,,C분할선32,CKD,원형,분홍,
385,,ID D,,타원형,분홍,
386,,HNM,분할선,장방형,하양,
387,,K분할선D,IF,타원형,분홍,
388,,MM,분할선,장방형,하양,
389,,C분할선8,YJP,원형,분홍,
390,,C분할선16,YJP,원형,분홍,
391,,10,MI,원형,노랑,
392,,ID16,분할선,원형,분홍,
393,,5,4215,원형,분홍,
394,,2.5,4214,원형,노랑,
395,,V분할선A,160,타원형,갈색,
396,,R분할선T,마크,타원형,연두,
397,,M4,마크,원형,하양,
398,,MO4,마크,원형,하양,
399,,TON,,장방형,"파랑, 투명",
400,,CKD CKD100 100,,장방형,하양,하양
401,,K분할선D,IP,타원형,분홍,
402,,마크 R150,,장방형,파랑,하양
403,,BT22,CKD,원형,주황,
404,,BT10,CKD,원형,하양,
405,,BT20,CKD,원형,하양,
406,,OM,20,원형,하양,
407,,GX분할선623,GX분할선623,장방형,노랑,
408,,마크,분할선,원형,하양,
409,,D-W pws,,장방형,빨강,
410,,MM HC,,장방형,초록,노랑
411,,DC HCM,,장방형,갈색,
412,,Co10P,,장방형,갈색,
413,,DKP P0,,장방형,갈색,
414,,CA분할선MM,분할선,기타,파랑,
415,,RD,35,타원형,주황,
416,,GILEAD4331,300,기타,파랑,
417,,마크,분할선,기타,노랑,
418,,UT,R150,타원형,파랑,
419,,MF 350,KD,타원형,하양,
420,,K.D,M,타원형,하양,
421,,마크,63,타원형,파랑,
422,,CGP,27,장방형,파랑,
423,,MFT 350,CS,장방형,하양,
424,,명인PR300,,타원형,하양,
425,,IBN MLX,,장방형,연두,연두
426,,N분할선B,마크,원형,하양,
427,,UKP,150,장방형,파랑,
428,,C75,,원형,노랑,
